Landroid/preference/PreferenceManager;,getDefaultSharedPreferences,(Landroid/content/Context;)Landroid/content/SharedPreferences;
Landroid/content/SharedPreferences;,getInt,(Ljava/lang/String; I)I
Landroid/content/SharedPreferences$Editor;,putLong,(Ljava/lang/String; J)Landroid/content/SharedPreferences$Editor;
Landroid/content/SharedPreferences;,edit,()Landroid/content/SharedPreferences$Editor;
Landroid/content/SharedPreferences$Editor;,apply,()V
Landroid/content/SharedPreferences$Editor;,putBoolean,(Ljava/lang/String; Z)Landroid/content/SharedPreferences$Editor;
Landroid/content/SharedPreferences;,getString,(Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;
Landroid/content/res/Resources;,getConfiguration,()Landroid/content/res/Configuration;
Landroid/content/res/Configuration;,setLocale,(Ljava/util/Locale;)V
Landroid/content/Context;,getText,(I)Ljava/lang/CharSequence;
Landroid/content/Context;,getResources,()Landroid/content/res/Resources;
Landroid/content/res/Configuration;,<init>,(Landroid/content/res/Configuration;)V
Landroid/content/Context;,createConfigurationContext,(Landroid/content/res/Configuration;)Landroid/content/Context;
Landroid/content/Intent;,setFlags,(I)Landroid/content/Intent;
Landroid/app/PendingIntent;,getActivity,(Landroid/content/Context; I Landroid/content/Intent; I)Landroid/app/PendingIntent;
Landroid/content/Intent;,<init>,(Ljava/lang/String; Landroid/net/Uri;)V
Landroid/app/NotificationManager;,notify,(I Landroid/app/Notification;)V
Landroid/graphics/Bitmap;,getWidth,()I
Landroid/graphics/Bitmap;,getHeight,()I
Landroid/graphics/Bitmap;,createScaledBitmap,(Landroid/graphics/Bitmap; I I Z)Landroid/graphics/Bitmap;
Landroid/content/res/Resources;,getDimensionPixelSize,(I)I
Landroid/content/Context;,getPackageName,()Ljava/lang/String;
Landroid/graphics/BitmapFactory;,decodeResource,(Landroid/content/res/Resources; I)Landroid/graphics/Bitmap;
Landroid/app/Notification$BigTextStyle;,setBigContentTitle,(Ljava/lang/CharSequence;)Landroid/app/Notification$BigTextStyle;
Landroid/app/Notification$Builder;,build,()Landroid/app/Notification;
Landroid/os/Bundle;,putString,(Ljava/lang/String; Ljava/lang/String;)V
Landroid/app/Notification$BigTextStyle;,<init>,(Landroid/app/Notification$Builder;)V
Landroid/app/Notification$Builder;,setExtras,(Landroid/os/Bundle;)Landroid/app/Notification$Builder;
Landroid/os/Bundle;,putBundle,(Ljava/lang/String; Landroid/os/Bundle;)V
Landroid/os/Bundle;,putParcelableArray,(Ljava/lang/String; [Landroid/os/Parcelable;)V
Landroid/os/Bundle;,<init>,()V
Landroid/app/Notification$Builder;,setProgress,(I I Z)Landroid/app/Notification$Builder;
Landroid/app/Person$Builder;,setUri,(Ljava/lang/String;)Landroid/app/Person$Builder;
Landroid/app/Notification$Builder;,setOngoing,(Z)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setNumber,(I)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setContent,(Landroid/widget/RemoteViews;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setBadgeIconType,(I)Landroid/app/Notification$Builder;
Landroid/app/Person$Builder;,build,()Landroid/app/Person;
Landroid/app/Notification$Builder;,setLights,(I I I)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setWhen,(J)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setGroupSummary,(Z)Landroid/app/Notification$Builder;
Landroid/app/Notification$Action$Builder;,setSemanticAction,(I)Landroid/app/Notification$Action$Builder;
Landroid/app/Notification$Builder;,setGroup,(Ljava/lang/String;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Action$Builder;,<init>,(Landroid/graphics/drawable/Icon; Ljava/lang/CharSequence; Landroid/app/PendingIntent;)V
Landroid/app/Notification$Builder;,setVisibility,(I)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setColor,(I)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setAutoCancel,(Z)Landroid/app/Notification$Builder;
Landroid/app/Notification$Action$Builder;,<init>,(I Ljava/lang/CharSequence; Landroid/app/PendingIntent;)V
Landroid/app/Notification$Builder;,setSound,(Landroid/net/Uri;)Landroid/app/Notification$Builder;
Landroid/os/Bundle;,putBoolean,(Ljava/lang/String; Z)V
Landroid/os/Bundle;,getBundle,(Ljava/lang/String;)Landroid/os/Bundle;
Landroid/app/Notification$Builder;,addPerson,(Ljava/lang/String;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setPriority,(I)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setContentIntent,(Landroid/app/PendingIntent;)Landroid/app/Notification$Builder;
Landroid/app/Person$Builder;,setIcon,(Landroid/graphics/drawable/Icon;)Landroid/app/Person$Builder;
Landroid/app/Notification$Builder;,setUsesChronometer,(Z)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setShowWhen,(Z)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setSound,(Landroid/net/Uri; Landroid/media/AudioAttributes;)Landroid/app/Notification$Builder;
Landroid/app/Person$Builder;,setName,(Ljava/lang/CharSequence;)Landroid/app/Person$Builder;
Landroid/app/Notification$Builder;,setAllowSystemGeneratedContextualActions,(Z)Landroid/app/Notification$Builder;
Landroid/os/Bundle;,<init>,(Landroid/os/Bundle;)V
Landroid/graphics/drawable/Icon;,getResId,()I
Landroid/os/Bundle;,putParcelable,(Ljava/lang/String; Landroid/os/Parcelable;)V
Landroid/os/Bundle;,putAll,(Landroid/os/Bundle;)V
Landroid/app/Notification$Builder;,setVibrate,([J)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setCategory,(Ljava/lang/String;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setContentTitle,(Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setOnlyAlertOnce,(Z)Landroid/app/Notification$Builder;
Landroid/app/Person$Builder;,<init>,()V
Landroid/app/Notification$Action$Builder;,setAllowGeneratedReplies,(Z)Landroid/app/Notification$Action$Builder;
Landroid/graphics/drawable/Icon;,createWithBitmap,(Landroid/graphics/Bitmap;)Landroid/graphics/drawable/Icon;
Landroid/text/TextUtils;,isEmpty,(Ljava/lang/CharSequence;)Z
Landroid/graphics/drawable/Icon;,setTintMode,(Landroid/graphics/PorterDuff$Mode;)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,createWithData,([B I I)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,getUri,()Landroid/net/Uri;
Landroid/net/Uri;,parse,(Ljava/lang/String;)Landroid/net/Uri;
Landroid/graphics/drawable/Icon;,createWithAdaptiveBitmapContentUri,(Landroid/net/Uri;)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,createWithResource,(Ljava/lang/String; I)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,createWithContentUri,(Ljava/lang/String;)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,createWithAdaptiveBitmap,(Landroid/graphics/Bitmap;)Landroid/graphics/drawable/Icon;
Landroid/support/v4/media/b;,j,(Ljava/lang/String;)Ljava/lang/StringBuilder;
Landroid/graphics/drawable/Icon;,setTintList,(Landroid/content/res/ColorStateList;)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,getResPackage,()Ljava/lang/String;
Landroid/graphics/Bitmap;,createBitmap,(I I Landroid/graphics/Bitmap$Config;)Landroid/graphics/Bitmap;
Landroid/graphics/Canvas;,drawCircle,(F F F Landroid/graphics/Paint;)V
Landroid/graphics/Paint;,clearShadowLayer,()V
Landroid/graphics/Paint;,setColor,(I)V
Landroid/graphics/Canvas;,setBitmap,(Landroid/graphics/Bitmap;)V
Landroid/graphics/Paint;,<init>,(I)V
Landroid/graphics/Matrix;,setTranslate,(F F)V
Landroid/graphics/Paint;,setShadowLayer,(F F F I)V
Landroid/graphics/BitmapShader;,<init>,(Landroid/graphics/Bitmap; Landroid/graphics/Shader$TileMode; Landroid/graphics/Shader$TileMode;)V
Landroid/graphics/BitmapShader;,setLocalMatrix,(Landroid/graphics/Matrix;)V
Landroid/graphics/Canvas;,<init>,(Landroid/graphics/Bitmap;)V
Landroid/graphics/Paint;,setShader,(Landroid/graphics/Shader;)Landroid/graphics/Shader;
Landroid/graphics/Matrix;,<init>,()V
Landroid/app/Notification$Builder;,setContentText,(Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,<init>,(Landroid/content/Context; Ljava/lang/String;)V
Landroid/app/Notification$Builder;,setContentInfo,(Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,addPerson,(Landroid/app/Person;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setLargeIcon,(Landroid/graphics/Bitmap;)Landroid/app/Notification$Builder;
Landroid/app/Person$Builder;,setImportant,(Z)Landroid/app/Person$Builder;
Landroid/app/Notification$Builder;,setFullScreenIntent,(Landroid/app/PendingIntent; Z)Landroid/app/Notification$Builder;
Landroid/app/Notification$Action$Builder;,build,()Landroid/app/Notification$Action;
Landroid/app/Notification$Builder;,setBubbleMetadata,(Landroid/app/Notification$BubbleMetadata;)Landroid/app/Notification$Builder;
Landroid/os/Bundle;,putInt,(Ljava/lang/String; I)V
Landroid/app/Notification$Builder;,setSubText,(Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setPublicVersion,(Landroid/app/Notification;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Action$Builder;,addExtras,(Landroid/os/Bundle;)Landroid/app/Notification$Action$Builder;
Landroid/app/Notification$Builder;,<init>,(Landroid/content/Context;)V
Landroid/app/Person$Builder;,setBot,(Z)Landroid/app/Person$Builder;
Landroid/app/Notification$Builder;,setDefaults,(I)Landroid/app/Notification$Builder;
Landroid/app/Notification$Action$Builder;,addRemoteInput,(Landroid/app/RemoteInput;)Landroid/app/Notification$Action$Builder;
Landroid/app/Notification$Builder;,setRemoteInputHistory,([Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setTicker,(Ljava/lang/CharSequence; Landroid/widget/RemoteViews;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setGroupAlertBehavior,(I)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setSettingsText,(Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setDeleteIntent,(Landroid/app/PendingIntent;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Action$Builder;,setContextual,(Z)Landroid/app/Notification$Action$Builder;
Landroid/app/Notification$Builder;,setShortcutId,(Ljava/lang/String;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setTimeoutAfter,(J)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setSortKey,(Ljava/lang/String;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setLocalOnly,(Z)Landroid/app/Notification$Builder;
Landroid/os/Bundle;,putCharSequence,(Ljava/lang/String; Ljava/lang/CharSequence;)V
Landroid/app/Person$Builder;,setKey,(Ljava/lang/String;)Landroid/app/Person$Builder;
Landroid/app/Notification$Builder;,setSmallIcon,(I I)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,addAction,(Landroid/app/Notification$Action;)Landroid/app/Notification$Builder;
Landroid/app/Notification$BigTextStyle;,bigText,(Ljava/lang/CharSequence;)Landroid/app/Notification$BigTextStyle;
Landroid/content/Context;,getSystemService,(Ljava/lang/String;)Ljava/lang/Object;
Landroid/app/Notification;,<init>,()V
Landroid/content/SharedPreferences;,getBoolean,(Ljava/lang/String; Z)Z
Landroid/support/v4/media/b;,k,(Ljava/lang/String; I Ljava/lang/String;)Ljava/lang/StringBuilder;
Landroid/app/job/JobInfo$Builder;,<init>,(I Landroid/content/ComponentName;)V
Landroid/app/job/JobInfo$Builder;,setOverrideDeadline,(J)Landroid/app/job/JobInfo$Builder;
Landroid/content/Context;,getApplicationContext,()Landroid/content/Context;
Landroid/app/job/JobInfo$Builder;,build,()Landroid/app/job/JobInfo;
Landroid/os/PowerManager;,newWakeLock,(I Ljava/lang/String;)Landroid/os/PowerManager$WakeLock;
Landroid/os/PowerManager$WakeLock;,setReferenceCounted,(Z)V
Landroid/content/ComponentName;,getClassName,()Ljava/lang/String;
Landroid/content/Intent;,<init>,(Landroid/content/Context; Ljava/lang/Class;)V
Landroid/content/ComponentName;,<init>,(Landroid/content/Context; Ljava/lang/Class;)V
Landroid/content/ContentResolver;,registerContentObserver,(Landroid/net/Uri; Z Landroid/database/ContentObserver;)V
Landroid/content/Context;,getContentResolver,()Landroid/content/ContentResolver;
Landroid/os/Handler;,<init>,()V
Landroid/database/ContentObserver;,<init>,(Landroid/os/Handler;)V
Landroid/content/Context;,startService,(Landroid/content/Intent;)Landroid/content/ComponentName;
Landroid/content/Context;,startForegroundService,(Landroid/content/Intent;)Landroid/content/ComponentName;
Landroid/app/PendingIntent;,getBroadcast,(Landroid/content/Context; I Landroid/content/Intent; I)Landroid/app/PendingIntent;
Landroid/app/Application;,registerActivityLifecycleCallbacks,(Landroid/app/Application$ActivityLifecycleCallbacks;)V
Landroid/util/Log;,w,(Ljava/lang/String; Ljava/lang/String;)I
Landroid/content/res/Resources;,getResourcePackageName,(I)Ljava/lang/String;
Landroid/content/res/Resources;,getString,(I)Ljava/lang/String;
Landroid/content/res/Resources;,getIdentifier,(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)I
Landroid/app/AlarmManager;,setInexactRepeating,(I J J Landroid/app/PendingIntent;)V
Landroid/os/Bundle;,putLong,(Ljava/lang/String; J)V
Landroid/content/Intent;,setAction,(Ljava/lang/String;)Landroid/content/Intent;
Landroid/os/StrictMode;,allowThreadDiskReads,()Landroid/os/StrictMode$ThreadPolicy;
Landroid/os/StrictMode;,setThreadPolicy,(Landroid/os/StrictMode$ThreadPolicy;)V
Landroid/os/Process;,myPid,()I
Landroid/content/res/XmlResourceParser;,getText,()Ljava/lang/String;
Landroid/content/res/XmlResourceParser;,getEventType,()I
Landroid/content/res/Resources;,getXml,(I)Landroid/content/res/XmlResourceParser;
Landroid/support/v4/media/a;,a,(Ljava/lang/Class;)Ljava/lang/Object;
Landroid/content/Context;,getSharedPreferences,(Ljava/lang/String; I)Landroid/content/SharedPreferences;
Landroid/content/SharedPreferences;,getLong,(Ljava/lang/String; J)J
Landroid/content/res/XmlResourceParser;,getName,()Ljava/lang/String;
Landroid/content/res/XmlResourceParser;,next,()I
Landroid/support/v4/media/b;,h,(Ljava/lang/StringBuilder; Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;
Landroid/telecom/CallScreeningService$CallResponse$Builder;,setRejectCall,(Z)Landroid/telecom/CallScreeningService$CallResponse$Builder;
Landroid/os/Bundle;,keySet,()Ljava/util/Set;
Landroid/os/Bundle;,get,(Ljava/lang/String;)Ljava/lang/Object;
Landroid/telecom/Call$Details;,toString,()Ljava/lang/String;
Landroid/telecom/CallScreeningService$CallResponse$Builder;,setDisallowCall,(Z)Landroid/telecom/CallScreeningService$CallResponse$Builder;
Landroid/telecom/CallScreeningService$CallResponse$Builder;,<init>,()V
Landroid/telecom/CallScreeningService$CallResponse$Builder;,build,()Landroid/telecom/CallScreeningService$CallResponse;
Landroid/telecom/CallScreeningService;,respondToCall,(Landroid/telecom/Call$Details; Landroid/telecom/CallScreeningService$CallResponse;)V
Landroid/telecom/Call$Details;,getExtras,()Landroid/os/Bundle;
Landroid/telecom/CallScreeningService$CallResponse$Builder;,setSkipNotification,(Z)Landroid/telecom/CallScreeningService$CallResponse$Builder;
Landroid/telecom/Call$Details;,getIntentExtras,()Landroid/os/Bundle;
Landroid/content/Intent;,getIntExtra,(Ljava/lang/String; I)I
Landroid/content/Intent;,getStringExtra,(Ljava/lang/String;)Ljava/lang/String;
Landroid/os/Bundle;,toString,()Ljava/lang/String;
Landroid/content/Intent;,getExtras,()Landroid/os/Bundle;
Landroid/content/Intent;,putExtra,(Ljava/lang/String; Landroid/os/Bundle;)Landroid/content/Intent;
Landroid/content/Intent;,getAction,()Ljava/lang/String;
Landroid/content/Intent;,toString,()Ljava/lang/String;
Landroid/os/Handler;,<init>,(Landroid/os/Looper;)V
Landroid/os/Looper;,getMainLooper,()Landroid/os/Looper;
Landroid/os/Looper;,myLooper,()Landroid/os/Looper;
